AÑO,TRIMESTRE,NOM_ENT,NOM_MUN,TOTAL_REGISTROS,TOTAL_SEGUROS,TOTAL_INSEGUROS,TOTAL_NO_RESPONDE,PCT_SEGUROS,PCT_INSEGUROS,PCT_NO_RESPONDE
2022,4,CIUDAD DE MEXICO,GUSTAVO A. MADERO,273,99,173,1,36.26,63.37,0.37
2022,4,CIUDAD DE MEXICO,IZTACALCO,270,84,186,0,31.11,68.89,0.0
2022,4,CIUDAD DE MEXICO,IZTAPALAPA,278,73,205,0,26.26,73.74,0.0
2022,4,CIUDAD DE MEXICO,LA MAGDALENA CONTRERAS,267,120,147,0,44.94,55.06,0.0
2022,4,CIUDAD DE MEXICO,MIGUEL HIDALGO,261,138,122,1,52.87,46.74,0.38
2022,4,CIUDAD DE MEXICO,MILPA ALTA,277,93,184,0,33.57,66.43,0.0
2022,4,CIUDAD DE MEXICO,TLAHUAC,268,66,200,2,24.63,74.63,0.75
2022,4,CIUDAD DE MEXICO,TLALPAN,268,93,173,2,34.7,64.55,0.75
2022,4,CIUDAD DE MEXICO,VENUSTIANO CARRANZA,271,147,123,1,54.24,45.39,0.37
2022,4,CIUDAD DE MEXICO,XOCHIMILCO,265,65,198,2,24.53,74.72,0.75
2022,4,COAHUILA DE ZARAGOZA,MATAMOROS,16,8,8,0,50.0,50.0,0.0
2022,4,COAHUILA DE ZARAGOZA,NAVA,10,6,4,0,60.0,40.0,0.0
2022,4,COAHUILA DE ZARAGOZA,PIEDRAS NEGRAS,258,200,58,0,77.52,22.48,0.0
2022,4,COAHUILA DE ZARAGOZA,RAMOS ARIZPE,22,14,8,0,63.64,36.36,0.0
2022,4,COAHUILA DE ZARAGOZA,SALTILLO,233,175,56,2,75.11,24.03,0.86
2022,4,COAHUILA DE ZARAGOZA,TORREON,258,148,110,0,57.36,42.64,0.0
2022,4,COLIMA,COLIMA,124,24,100,0,19.35,80.65,0.0
2022,4,COLIMA,MANZANILLO,262,83,178,1,31.68,67.94,0.38
2022,4,COLIMA,VILLA DE ALVAREZ,136,36,100,0,26.47,73.53,0.0
2022,4,DURANGO,DURANGO,259,144,115,0,55.6,44.4,0.0
2022,4,DURANGO,GOMEZ PALACIO,79,37,42,0,46.84,53.16,0.0
2022,4,DURANGO,LERDO,18,7,11,0,38.89,61.11,0.0
2022,4,GUANAJUATO,GUANAJUATO,272,85,187,0,31.25,68.75,0.0
2022,4,GUANAJUATO,IRAPUATO,270,20,250,0,7.41,92.59,0.0
2022,4,GUANAJUATO,LEON,258,44,214,0,17.05,82.95,0.0
2022,4,GUANAJUATO,PURISIMA DEL RINCON,5,0,5,0,0.0,100.0,0.0
2022,4,GUANAJUATO,SAN FRANCISCO DEL RINCON,19,6,13,0,31.58,68.42,0.0
2022,4,GUERRERO,ACAPULCO DE JUAREZ,243,56,185,2,23.05,76.13,0.82
2022,4,GUERRERO,CHILPANCINGO DE LOS BRAVO,249,46,200,3,18.47,80.32,1.2
2022,4,GUERRERO,ZIHUATANEJO DE AZUETA,256,94,161,1,36.72,62.89,0.39
2022,4,HIDALGO,MINERAL DE LA REFORMA,74,39,34,1,52.7,45.95,1.35
2022,4,HIDALGO,PACHUCA DE SOTO,190,107,83,0,56.32,43.68,0.0
2022,4,JALISCO,GUADALAJARA,258,40,216,2,15.5,83.72,0.78
2022,4,JALISCO,PUERTO VALLARTA,245,165,79,1,67.35,32.24,0.41
2022,4,JALISCO,SAN PEDRO TLAQUEPAQUE,262,95,166,1,36.26,63.36,0.38
2022,4,JALISCO,TLAJOMULCO DE ZUNIGA,255,79,176,0,30.98,69.02,0.0
2022,4,JALISCO,TONALA,256,54,202,0,21.09,78.91,0.0
2022,4,JALISCO,ZAPOPAN,255,86,164,5,33.73,64.31,1.96
2022,4,MEXICO,ALMOLOYA DE JUAREZ,5,2,3,0,40.0,60.0,0.0
2022,4,MEXICO,ATIZAPAN DE ZARAGOZA,257,100,154,3,38.91,59.92,1.17
2022,4,MEXICO,CHIMALHUACAN,269,55,214,0,20.45,79.55,0.0
2022,4,MEXICO,CUAUTITLAN IZCALLI,255,44,210,1,17.25,82.35,0.39
2022,4,MEXICO,ECATEPEC DE MORELOS,260,33,227,0,12.69,87.31,0.0
2022,4,MEXICO,LERMA,8,3,5,0,37.5,62.5,0.0
2022,4,MEXICO,METEPEC,35,8,27,0,22.86,77.14,0.0
2022,4,MEXICO,NAUCALPAN DE JUAREZ,257,26,231,0,10.12,89.88,0.0
2022,4,MEXICO,NEZAHUALCOYOTL,271,75,195,1,27.68,71.96,0.37
