NOM_ENT,NOM_MUN,NOM_CD,TOTAL_SEGUROS,TOTAL_INSEGUROS,TOTAL_NO_RESPONDE,TOTAL_RESPUESTAS,PORCENTAJE_SEGUROS,PORCENTAJE_INSEGUROS,PORCENTAJE_NO_RESPONDE,PERIODO,FECHA_PROCESAMIENTO,AÑO,TRIMESTRE,PCT_SEGUROS,PCT_INSEGUROS,PCT_NO_RESPONDE,TOTAL_REGISTROS
YUCATAN,"Kanasin",SIN_CIUDAD,9,11,0,20,45.0,55.0,0.0,2018-Q1,2025-09-10T10:05:31.096258,2018,1,45.0,55.0,0.0,20
YUCATAN,"Merida",SIN_CIUDAD,168,54,0,222,75.68,24.32,0.0,2018-Q1,2025-09-10T10:05:31.096258,2018,1,75.68,24.32,0.0,222
YUCATAN,"Progreso",SIN_CIUDAD,7,3,0,10,70.0,30.0,0.0,2018-Q1,2025-09-10T10:05:31.096258,2018,1,70.0,30.0,0.0,10
YUCATAN,"Uman",SIN_CIUDAD,6,8,0,14,42.86,57.14,0.0,2018-Q1,2025-09-10T10:05:31.096258,2018,1,42.86,57.14,0.0,14
YUCATAN,"Kanasin",SIN_CIUDAD,6,7,0,13,46.15,53.85,0.0,2018-Q2,2025-09-10T10:05:31.591570,2018,2,46.15,53.85,0.0,13
YUCATAN,"Merida",SIN_CIUDAD,163,56,0,219,74.43,25.57,0.0,2018-Q2,2025-09-10T10:05:31.591570,2018,2,74.43,25.57,0.0,219
YUCATAN,"Progreso",SIN_CIUDAD,12,6,0,18,66.67,33.33,0.0,2018-Q2,2025-09-10T10:05:31.591570,2018,2,66.67,33.33,0.0,18
YUCATAN,"Uman",SIN_CIUDAD,10,9,0,19,52.63,47.37,0.0,2018-Q2,2025-09-10T10:05:31.591570,2018,2,52.63,47.37,0.0,19
YUCATAN,"Kanasin",SIN_CIUDAD,7,8,0,15,46.67,53.33,0.0,2019-Q1,2025-09-10T10:05:32.241056,2019,1,46.67,53.33,0.0,15
YUCATAN,"Merida",SIN_CIUDAD,176,45,0,221,79.64,20.36,0.0,2019-Q1,2025-09-10T10:05:32.241056,2019,1,79.64,20.36,0.0,221
YUCATAN,"Progreso",SIN_CIUDAD,11,6,0,17,64.71,35.29,0.0,2019-Q1,2025-09-10T10:05:32.241056,2019,1,64.71,35.29,0.0,17
YUCATAN,"Uman",SIN_CIUDAD,15,2,0,17,88.24,11.76,0.0,2019-Q1,2025-09-10T10:05:32.241056,2019,1,88.24,11.76,0.0,17
YUCATAN,"Kanasin",SIN_CIUDAD,9,5,0,14,64.29,35.71,0.0,2019-Q2,2025-09-10T10:05:32.707267,2019,2,64.29,35.71,0.0,14
YUCATAN,"Merida",SIN_CIUDAD,157,60,0,217,72.35,27.65,0.0,2019-Q2,2025-09-10T10:05:32.707267,2019,2,72.35,27.65,0.0,217
YUCATAN,"Progreso",SIN_CIUDAD,12,5,0,17,70.59,29.41,0.0,2019-Q2,2025-09-10T10:05:32.707267,2019,2,70.59,29.41,0.0,17
YUCATAN,"Uman",SIN_CIUDAD,7,10,0,17,41.18,58.82,0.0,2019-Q2,2025-09-10T10:05:32.707267,2019,2,41.18,58.82,0.0,17
YUCATAN,"Kanasin",SIN_CIUDAD,5,2,0,7,71.43,28.57,0.0,2020-Q1,2025-09-10T10:05:33.381095,2020,1,71.43,28.57,0.0,7
YUCATAN,"Merida",SIN_CIUDAD,168,48,0,216,77.78,22.22,0.0,2020-Q1,2025-09-10T10:05:33.381095,2020,1,77.78,22.22,0.0,216
YUCATAN,"Progreso",SIN_CIUDAD,13,10,0,23,56.52,43.48,0.0,2020-Q1,2025-09-10T10:05:33.381095,2020,1,56.52,43.48,0.0,23
YUCATAN,"Uman",SIN_CIUDAD,12,6,0,18,66.67,33.33,0.0,2020-Q1,2025-09-10T10:05:33.381095,2020,1,66.67,33.33,0.0,18
YUCATAN,"Kanasin","Merida",2,7,0,9,22.22,77.78,0.0,2020-Q2,2025-09-10T10:05:34.165925,2020,2,22.22,77.78,0.0,9
YUCATAN,"Merida","Merida",171,44,0,215,79.53,20.47,0.0,2020-Q2,2025-09-10T10:05:34.165925,2020,2,79.53,20.47,0.0,215
YUCATAN,"Progreso","Merida",15,13,0,28,53.57,46.43,0.0,2020-Q2,2025-09-10T10:05:34.165925,2020,2,53.57,46.43,0.0,28
YUCATAN,"Uman","Merida",7,5,0,12,58.33,41.67,0.0,2020-Q2,2025-09-10T10:05:34.165925,2020,2,58.33,41.67,0.0,12
YUCATAN,"Kanasin","Merida",2,11,0,13,15.38,84.62,0.0,2021-Q1,2025-09-10T10:05:34.823796,2021,1,15.38,84.62,0.0,13
YUCATAN,"Merida","Merida",176,42,0,218,80.73,19.27,0.0,2021-Q1,2025-09-10T10:05:34.823796,2021,1,80.73,19.27,0.0,218
YUCATAN,"Progreso","Merida",11,11,0,22,50.0,50.0,0.0,2021-Q1,2025-09-10T10:05:34.823796,2021,1,50.0,50.0,0.0,22
YUCATAN,"Uman","Merida",8,7,0,15,53.33,46.67,0.0,2021-Q1,2025-09-10T10:05:34.823796,2021,1,53.33,46.67,0.0,15
YUCATAN,"Kanasin","Merida",9,10,0,19,47.37,52.63,0.0,2021-Q2,2025-09-10T10:05:35.660621,2021,2,47.37,52.63,0.0,19
YUCATAN,"Merida","Merida",165,54,0,219,75.34,24.66,0.0,2021-Q2,2025-09-10T10:05:35.660621,2021,2,75.34,24.66,0.0,219
YUCATAN,"Progreso","Merida",12,8,0,20,60.0,40.0,0.0,2021-Q2,2025-09-10T10:05:35.660621,2021,2,60.0,40.0,0.0,20
YUCATAN,"Uman","Merida",6,4,0,10,60.0,40.0,0.0,2021-Q2,2025-09-10T10:05:35.660621,2021,2,60.0,40.0,0.0,10
YUCATAN,Kanasin,Merida,12,8,0,20,60.0,40.0,0.0,2022-Q1,2025-09-10T10:05:36.196524,2022,1,60.0,40.0,0.0,20
YUCATAN,Merida,Merida,152,70,0,222,68.47,31.53,0.0,2022-Q1,2025-09-10T10:05:36.196524,2022,1,68.47,31.53,0.0,222
YUCATAN,Progreso,Merida,14,10,0,24,58.33,41.67,0.0,2022-Q1,2025-09-10T10:05:36.196524,2022,1,58.33,41.67,0.0,24
YUCATAN,Uman,Merida,6,3,0,9,66.67,33.33,0.0,2022-Q1,2025-09-10T10:05:36.196524,2022,1,66.67,33.33,0.0,9
YUCATAN,KANASIN,MERIDA,12,11,0,23,52.17,47.83,0.0,2022-Q2,2025-09-10T10:05:36.727718,2022,2,52.17,47.83,0.0,23
YUCATAN,MERIDA,MERIDA,157,55,0,212,74.06,25.94,0.0,2022-Q2,2025-09-10T10:05:36.727718,2022,2,74.06,25.94,0.0,212
YUCATAN,PROGRESO,MERIDA,13,10,0,23,56.52,43.48,0.0,2022-Q2,2025-09-10T10:05:36.727718,2022,2,56.52,43.48,0.0,23
YUCATAN,UMAN,MERIDA,3,1,0,4,75.0,25.0,0.0,2022-Q2,2025-09-10T10:05:36.727718,2022,2,75.0,25.0,0.0,4
YUCATAN,"KANASIN","MERIDA",15,15,0,30,50.0,50.0,0.0,2023-Q1,2025-09-10T10:05:37.446469,2023,1,50.0,50.0,0.0,30
YUCATAN,"MERIDA","MERIDA",181,41,0,222,81.53,18.47,0.0,2023-Q1,2025-09-10T10:05:37.446469,2023,1,81.53,18.47,0.0,222
YUCATAN,"PROGRESO","MERIDA",8,11,0,19,42.11,57.89,0.0,2023-Q1,2025-09-10T10:05:37.446469,2023,1,42.11,57.89,0.0,19
YUCATAN,KANASIN,MERIDA,20,10,0,30,66.67,33.33,0.0,2023-Q2,2025-09-10T10:05:37.879022,2023,2,66.67,33.33,0.0,30
YUCATAN,MERIDA,MERIDA,184,45,0,229,80.35,19.65,0.0,2023-Q2,2025-09-10T10:05:37.879022,2023,2,80.35,19.65,0.0,229
YUCATAN,PROGRESO,MERIDA,4,5,0,9,44.44,55.56,0.0,2023-Q2,2025-09-10T10:05:37.879022,2023,2,44.44,55.56,0.0,9
YUCATAN,KANASIN,MERIDA,20,5,0,25,80.0,20.0,0.0,2024-Q1,2025-09-10T10:05:38.482718,2024,1,80.0,20.0,0.0,25
YUCATAN,MERIDA,MERIDA,177,46,0,223,79.37,20.63,0.0,2024-Q1,2025-09-10T10:05:38.482718,2024,1,79.37,20.63,0.0,223
YUCATAN,PROGRESO,MERIDA,3,2,0,5,60.0,40.0,0.0,2024-Q1,2025-09-10T10:05:38.482718,2024,1,60.0,40.0,0.0,5
YUCATAN,UMAN,MERIDA,3,2,0,5,60.0,40.0,0.0,2024-Q1,2025-09-10T10:05:38.482718,2024,1,60.0,40.0,0.0,5
YUCATAN,KANASIN,MERIDA,19,16,0,35,54.29,45.71,0.0,2024-Q2,2025-09-10T10:05:38.956103,2024,2,54.29,45.71,0.0,35
YUCATAN,MERIDA,MERIDA,155,55,0,210,73.81,26.19,0.0,2024-Q2,2025-09-10T10:05:38.956103,2024,2,73.81,26.19,0.0,210
YUCATAN,PROGRESO,MERIDA,3,2,0,5,60.0,40.0,0.0,2024-Q2,2025-09-10T10:05:38.956103,2024,2,60.0,40.0,0.0,5
YUCATAN,UMAN,MERIDA,3,7,0,10,30.0,70.0,0.0,2024-Q2,2025-09-10T10:05:38.956103,2024,2,30.0,70.0,0.0,10
YUCATAN,KANASIN,MERIDA,15,14,0,29,51.72,48.28,0.0,2025-Q1,2025-09-10T10:05:39.392763,2025,1,51.72,48.28,0.0,29
YUCATAN,MERIDA,MERIDA,138,71,0,209,66.03,33.97,0.0,2025-Q1,2025-09-10T10:05:39.392763,2025,1,66.03,33.97,0.0,209
YUCATAN,PROGRESO,MERIDA,6,4,0,10,60.0,40.0,0.0,2025-Q1,2025-09-10T10:05:39.392763,2025,1,60.0,40.0,0.0,10
YUCATAN,UMAN,MERIDA,4,6,0,10,40.0,60.0,0.0,2025-Q1,2025-09-10T10:05:39.392763,2025,1,40.0,60.0,0.0,10
