NOM_ENT,NOM_MUN,NOM_CD,TOTAL_SEGUROS,TOTAL_INSEGUROS,TOTAL_NO_RESPONDE,TOTAL_RESPUESTAS,PCT_SEGUROS,PCT_INSEGUROS,PCT_NO_RESPONDE,FECHA_PROCESAMIENTO,ANO,TRIMESTRE
YUCATAN,PROGRESO,SIN_CIUDAD,14,10,0,24,58.33,41.67,0.0,2025-09-10T21:13:02.509550,2022,2
YUCATAN,UMAN,SIN_CIUDAD,6,3,0,9,66.67,33.33,0.0,2025-09-10T21:13:02.509550,2022,2
YUCATAN,KANASIN,SIN_CIUDAD,11,13,0,24,45.83,54.17,0.0,2025-09-10T21:13:03.350306,2022,3
YUCATAN,MERIDA,SIN_CIUDAD,159,52,0,211,75.36,24.64,0.0,2025-09-10T21:13:03.350306,2022,3
YUCATAN,PROGRESO,SIN_CIUDAD,13,11,0,24,54.17,45.83,0.0,2025-09-10T21:13:03.350306,2022,3
YUCATAN,UMAN,SIN_CIUDAD,3,1,0,4,75.0,25.0,0.0,2025-09-10T21:13:03.350306,2022,3
YUCATAN,KANASIN,SIN_CIUDAD,12,11,0,23,52.17,47.83,0.0,2025-09-10T21:13:04.158586,2022,4
YUCATAN,MERIDA,SIN_CIUDAD,157,55,0,212,74.06,25.94,0.0,2025-09-10T21:13:04.158586,2022,4
YUCATAN,PROGRESO,SIN_CIUDAD,13,10,0,23,56.52,43.48,0.0,2025-09-10T21:13:04.158586,2022,4
YUCATAN,UMAN,SIN_CIUDAD,3,1,0,4,75.0,25.0,0.0,2025-09-10T21:13:04.158586,2022,4
YUCATAN,KANASIN,SIN_CIUDAD,21,8,0,29,72.41,27.59,0.0,2025-09-10T21:13:05.048070,2023,1
YUCATAN,MERIDA,SIN_CIUDAD,166,44,1,211,78.67,20.85,0.47,2025-09-10T21:13:05.048070,2023,1
YUCATAN,PROGRESO,SIN_CIUDAD,12,10,0,22,54.55,45.45,0.0,2025-09-10T21:13:05.048070,2023,1
YUCATAN,KANASIN,SIN_CIUDAD,15,15,0,30,50.0,50.0,0.0,2025-09-10T21:13:05.965653,2023,2
YUCATAN,MERIDA,SIN_CIUDAD,181,41,0,222,81.53,18.47,0.0,2025-09-10T21:13:05.965653,2023,2
YUCATAN,PROGRESO,SIN_CIUDAD,8,11,0,19,42.11,57.89,0.0,2025-09-10T21:13:05.965653,2023,2
YUCATAN,KANASIN,SIN_CIUDAD,25,5,0,30,83.33,16.67,0.0,2025-09-10T21:13:07.077667,2023,3
YUCATAN,MERIDA,SIN_CIUDAD,165,53,0,218,75.69,24.31,0.0,2025-09-10T21:13:07.077667,2023,3
YUCATAN,PROGRESO,SIN_CIUDAD,7,12,0,19,36.84,63.16,0.0,2025-09-10T21:13:07.077667,2023,3
YUCATAN,KANASIN,SIN_CIUDAD,20,10,0,30,66.67,33.33,0.0,2025-09-10T21:13:07.853420,2023,4
YUCATAN,MERIDA,SIN_CIUDAD,184,45,0,229,80.35,19.65,0.0,2025-09-10T21:13:07.853420,2023,4
YUCATAN,PROGRESO,SIN_CIUDAD,4,5,0,9,44.44,55.56,0.0,2025-09-10T21:13:07.853420,2023,4
YUCATAN,KANASIN,SIN_CIUDAD,25,8,0,33,75.76,24.24,0.0,2025-09-10T21:13:08.649466,2024,1
YUCATAN,MERIDA,SIN_CIUDAD,166,50,0,216,76.85,23.15,0.0,2025-09-10T21:13:08.649466,2024,1
YUCATAN,PROGRESO,SIN_CIUDAD,5,3,0,8,62.5,37.5,0.0,2025-09-10T21:13:08.649466,2024,1
YUCATAN,KANASIN,SIN_CIUDAD,14,7,0,21,66.67,33.33,0.0,2025-09-10T21:13:09.467418,2024,2
YUCATAN,MERIDA,SIN_CIUDAD,186,40,0,226,82.3,17.7,0.0,2025-09-10T21:13:09.467418,2024,2
YUCATAN,PROGRESO,SIN_CIUDAD,2,2,0,4,50.0,50.0,0.0,2025-09-10T21:13:09.467418,2024,2
YUCATAN,UMAN,SIN_CIUDAD,2,3,0,5,40.0,60.0,0.0,2025-09-10T21:13:09.467418,2024,2
YUCATAN,KANASIN,SIN_CIUDAD,20,5,0,25,80.0,20.0,0.0,2025-09-10T21:13:10.399962,2024,3
YUCATAN,MERIDA,SIN_CIUDAD,177,46,0,223,79.37,20.63,0.0,2025-09-10T21:13:10.399962,2024,3
YUCATAN,PROGRESO,SIN_CIUDAD,3,2,0,5,60.0,40.0,0.0,2025-09-10T21:13:10.399962,2024,3
YUCATAN,UMAN,SIN_CIUDAD,3,2,0,5,60.0,40.0,0.0,2025-09-10T21:13:10.399962,2024,3
YUCATAN,KANASIN,SIN_CIUDAD,19,16,0,35,54.29,45.71,0.0,2025-09-10T21:13:11.179367,2024,4
YUCATAN,MERIDA,SIN_CIUDAD,155,55,0,210,73.81,26.19,0.0,2025-09-10T21:13:11.179367,2024,4
YUCATAN,PROGRESO,SIN_CIUDAD,3,2,0,5,60.0,40.0,0.0,2025-09-10T21:13:11.179367,2024,4
YUCATAN,UMAN,SIN_CIUDAD,3,7,0,10,30.0,70.0,0.0,2025-09-10T21:13:11.179367,2024,4
YUCATAN,KANASIN,SIN_CIUDAD,15,14,0,29,51.72,48.28,0.0,2025-09-10T21:13:11.941644,2025,1
YUCATAN,MERIDA,SIN_CIUDAD,138,71,0,209,66.03,33.97,0.0,2025-09-10T21:13:11.941644,2025,1
YUCATAN,PROGRESO,SIN_CIUDAD,6,4,0,10,60.0,40.0,0.0,2025-09-10T21:13:11.941644,2025,1
YUCATAN,UMAN,SIN_CIUDAD,4,6,0,10,40.0,60.0,0.0,2025-09-10T21:13:11.941644,2025,1
YUCATAN,KANASIN,SIN_CIUDAD,8,17,0,25,32.0,68.0,0.0,2025-09-10T21:13:12.717799,2025,2
YUCATAN,MERIDA,SIN_CIUDAD,138,73,0,211,65.4,34.6,0.0,2025-09-10T21:13:12.717799,2025,2
YUCATAN,PROGRESO,SIN_CIUDAD,6,3,0,9,66.67,33.33,0.0,2025-09-10T21:13:12.717799,2025,2
YUCATAN,UMAN,SIN_CIUDAD,4,6,0,10,40.0,60.0,0.0,2025-09-10T21:13:12.717799,2025,2
YUCATAN,KANASIN,SIN_CIUDAD,7,8,0,15,46.67,53.33,0.0,2025-09-10T21:13:13.270952,2019,1
YUCATAN,MERIDA,SIN_CIUDAD,176,45,0,221,79.64,20.36,0.0,2025-09-10T21:13:13.270952,2019,1
YUCATAN,PROGRESO,SIN_CIUDAD,11,6,0,17,64.71,35.29,0.0,2025-09-10T21:13:13.270952,2019,1
YUCATAN,UMAN,SIN_CIUDAD,15,2,0,17,88.24,11.76,0.0,2025-09-10T21:13:13.270952,2019,1
