AÑO,TRIMESTRE,NOM_ENT,NOM_MUN,NOM_CD,TOTAL_REGISTROS,TOTAL_SEGUROS,TOTAL_INSEGUROS,TOTAL_NO_RESPONDE,PCT_SEGUROS,PCT_INSEGUROS,PCT_NO_RESPONDE
2024,2,CIUDAD DE MEXICO,IZTAPALAPA,IZTAPALAPA,266,149,117,0,56.02,43.98,0.0
2024,2,CIUDAD DE MEXICO,LA MAGDALENA CONTRERAS,LA MAGDALENA CONTRERAS,263,132,129,2,50.19,49.05,0.76
2024,2,CIUDAD DE MEXICO,MIGUEL HIDALGO,MIGUEL HIDALGO,257,98,159,0,38.13,61.87,0.0
2024,2,CIUDAD DE MEXICO,MILPA ALTA,MILPA ALTA,267,108,158,1,40.45,59.18,0.37
2024,2,CIUDAD DE MEXICO,TLAHUAC,TLAHUAC,263,173,86,4,65.78,32.7,1.52
2024,2,CIUDAD DE MEXICO,TLALPAN,TLALPAN,260,101,155,4,38.85,59.62,1.54
2024,2,CIUDAD DE MEXICO,VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,260,116,143,1,44.62,55.0,0.38
2024,2,CIUDAD DE MEXICO,XOCHIMILCO,XOCHIMILCO,270,181,89,0,67.04,32.96,0.0
2024,2,COAHUILA DE ZARAGOZA,MATAMOROS,LA LAGUNA,21,5,16,0,23.81,76.19,0.0
2024,2,COAHUILA DE ZARAGOZA,NAVA,PIEDRAS NEGRAS,5,1,4,0,20.0,80.0,0.0
2024,2,COAHUILA DE ZARAGOZA,PIEDRAS NEGRAS,PIEDRAS NEGRAS,261,39,222,0,14.94,85.06,0.0
2024,2,COAHUILA DE ZARAGOZA,RAMOS ARIZPE,SALTILLO,19,3,16,0,15.79,84.21,0.0
2024,2,COAHUILA DE ZARAGOZA,SALTILLO,SALTILLO,245,52,193,0,21.22,78.78,0.0
2024,2,COAHUILA DE ZARAGOZA,TORREON,LA LAGUNA,255,80,174,1,31.37,68.24,0.39
2024,2,COLIMA,COLIMA,COLIMA,171,130,41,0,76.02,23.98,0.0
2024,2,COLIMA,MANZANILLO,MANZANILLO,258,154,104,0,59.69,40.31,0.0
2024,2,COLIMA,VILLA DE ALVAREZ,COLIMA,94,73,21,0,77.66,22.34,0.0
2024,2,DURANGO,DURANGO,DURANGO,263,109,151,3,41.44,57.41,1.14
2024,2,DURANGO,GOMEZ PALACIO,LA LAGUNA,80,30,50,0,37.5,62.5,0.0
2024,2,DURANGO,LERDO,LA LAGUNA,17,6,11,0,35.29,64.71,0.0
2024,2,GUANAJUATO,GUANAJUATO,GUANAJUATO,279,176,103,0,63.08,36.92,0.0
2024,2,GUANAJUATO,IRAPUATO,IRAPUATO,275,229,46,0,83.27,16.73,0.0
2024,2,GUANAJUATO,LEON,LEON DE LOS ALDAMA,259,205,54,0,79.15,20.85,0.0
2024,2,GUANAJUATO,PURISIMA DEL RINCON,LEON DE LOS ALDAMA,5,4,1,0,80.0,20.0,0.0
2024,2,GUANAJUATO,SAN FRANCISCO DEL RINCON,LEON DE LOS ALDAMA,15,12,3,0,80.0,20.0,0.0
2024,2,GUERRERO,ACAPULCO DE JUAREZ,ACAPULCO DE JUAREZ,248,189,59,0,76.21,23.79,0.0
2024,2,GUERRERO,CHILPANCINGO DE LOS BRAVO,CHILPANCINGO DE LOS BRAVO,252,213,38,1,84.52,15.08,0.4
2024,2,GUERRERO,ZIHUATANEJO DE AZUETA,IXTAPA-ZIHUATANEJO,257,149,104,4,57.98,40.47,1.56
2024,2,HIDALGO,MINERAL DE LA REFORMA,PACHUCA DE SOTO,80,41,39,0,51.25,48.75,0.0
