"NOMBRE_CAMPO","NEMONICO","TIPO","LONGITUD","RANGO_CLAVES"
"Parentesco con el (la) jefe(a) del Hogar","PAREN","Numérico",1,"4"
"Parentesco con el (la) jefe(a) del Hogar","PAREN","Numérico",1,"5"
"Parentesco con el (la) jefe(a) del Hogar","PAREN","Numérico",1,"6"
"Sexo","SEXO","Numérico",1,"1"
"Sexo","SEXO","Numérico",1,"2"
"Edad","EDAD","Carácter",2,"01,...,96"
"Edad","EDAD","Carácter",2,"00"
"Edad","EDAD","Carácter",2,"97"
"Edad","EDAD","Carácter",2,"98"
"Edad","EDAD","Carácter",2,"99"
"Fecha de nacimiento día","NAC_D","Carácter",2,"-"
"Fecha de nacimiento mes","NAC_M","Carácter",2,"-"
"Código ","COD","Numérico",1,"1"
"Código ","COD","Numérico",1,"2"
"Código de seleccionado","COD_SEL","Texto",1,"A"
"Código de seleccionado","COD_SEL","Texto",1,"B"
"Código de seleccionado","COD_SEL","Texto",1,"C"
"Código de seleccionado","COD_SEL","Texto",1,"D"
"Código de seleccionado","COD_SEL","Texto",1,"b"
"Nivel de instrucción","I_NIV","Carácter",2,"00"
"Nivel de instrucción","I_NIV","Carácter",2,"01"
"Nivel de instrucción","I_NIV","Carácter",2,"02"
"Nivel de instrucción","I_NIV","Carácter",2,"03"
"Nivel de instrucción","I_NIV","Carácter",2,"04"
"Nivel de instrucción","I_NIV","Carácter",2,"05"
"Nivel de instrucción","I_NIV","Carácter",2,"06"
"Nivel de instrucción","I_NIV","Carácter",2,"07"
"Nivel de instrucción","I_NIV","Carácter",2,"08"
"Nivel de instrucción","I_NIV","Carácter",2,"09"
"Nivel de instrucción","I_NIV","Carácter",2,"99"
"Grados de estudio","I_ANIO","Numérico",1,"0,...,6"
"Grados de estudio","I_ANIO","Numérico",1,"9"
"Asistencia escolar","A_ESC","Numérico",1,"1"
"Asistencia escolar","A_ESC","Numérico",1,"2"
"Asistencia escolar","A_ESC","Numérico",1,"9"
"Condición de actividad","C_ACT","Numérico",1,"1"
"Condición de actividad","C_ACT","Numérico",1,"2"
"Condición de actividad","C_ACT","Numérico",1,"3"
"Condición de actividad","C_ACT","Numérico",1,"4"
"Condición de actividad","C_ACT","Numérico",1,"5"
"Condición de actividad","C_ACT","Numérico",1,"6"
"Condición de actividad","C_ACT","Numérico",1,"7"
"Condición de actividad","C_ACT","Numérico",1,"8"
"Condición de actividad","C_ACT","Numérico",1,"9"
"Verificación de actividad","V_ACT","Numérico",1,"1"
"Verificación de actividad","V_ACT","Numérico",1,"2"
"Verificación de actividad","V_ACT","Numérico",1,"3"
"Verificación de actividad","V_ACT","Numérico",1,"4"
"Verificación de actividad","V_ACT","Numérico",1,"9"
"Posición en la ocupación","POS","Numérico",1,"1"
"Posición en la ocupación","POS","Numérico",1,"2"
"Posición en la ocupación","POS","Numérico",1,"3"
"Posición en la ocupación","POS","Numérico",1,"4"
"Posición en la ocupación","POS","Numérico",1,"5"
"Posición en la ocupación","POS","Numérico",1,"9"
"Factor de expansión de vivienda","FAC_VIV","Numérico",6,"000001,...,999999"
"Factor de expansión del seleccionado","FAC_SEL","Numérico",6,"000001,...,999999"
"Dominio","DOMINIO","Alfanumérico",1,"U"
"Estrato","EST","Numérico",1,"1"
"Estrato","EST","Numérico",1,"2"
"Estrato","EST","Numérico",1,"3"
"Estrato","EST","Numérico",1,"4"
"Unidad primaria de muestreo del diseño","UPM_DIS","Carácter",5,"00001,...,99999"
"Estrato de diseño","EST_DIS","Carácter",4,"0001,...,9999"
