NOM_ENT,NOM_MUN,TOTAL_REGISTROS,TOTAL_SEGUROS,TOTAL_INSEGUROS,TOTAL_NO_RESPONDE,PCT_SEGUROS,PCT_INSEGUROS,PCT_NO_RESPONDE,AÑO,TRIMESTRE
CIUDAD DE MEXICO,XOCHIMILCO,44,4,40,0,9.090909090909092,90.9090909090909,0.0,2018,Q1
COAHUILA DE ZARAGOZA,MATAMOROS,12,3,9,0,25.0,75.0,0.0,2018,Q1
COAHUILA DE ZARAGOZA,NAVA,8,4,4,0,50.0,50.0,0.0,2018,Q1
COAHUILA DE ZARAGOZA,PIEDRAS NEGRAS,255,131,124,0,51.37254901960784,48.627450980392155,0.0,2018,Q1
COAHUILA DE ZARAGOZA,RAMOS ARIZPE,24,21,3,0,87.5,12.5,0.0,2018,Q1
COAHUILA DE ZARAGOZA,SALTILLO,233,155,78,0,66.52360515021459,33.47639484978541,0.0,2018,Q1
COAHUILA DE ZARAGOZA,TORREON,157,75,81,1,47.77070063694268,51.59235668789809,0.6369426751592357,2018,Q1
COLIMA,COLIMA,62,12,49,1,19.35483870967742,79.03225806451613,1.6129032258064515,2018,Q1
COLIMA,MANZANILLO,262,47,215,0,17.938931297709924,82.06106870229007,0.0,2018,Q1
COLIMA,VILLA DE ALVAREZ,195,52,143,0,26.666666666666668,73.33333333333333,0.0,2018,Q1
DURANGO,DURANGO,256,134,122,0,52.34375,47.65625,0.0,2018,Q1
DURANGO,GOMEZ PALACIO,67,38,28,1,56.71641791044776,41.7910447761194,1.4925373134328357,2018,Q1
DURANGO,LERDO,21,11,10,0,52.38095238095239,47.61904761904761,0.0,2018,Q1
GUANAJUATO,GUANAJUATO,272,91,181,0,33.455882352941174,66.54411764705883,0.0,2018,Q1
GUANAJUATO,LEON,246,55,191,0,22.35772357723577,77.64227642276423,0.0,2018,Q1
GUANAJUATO,PURISIMA DEL RINCON,4,1,3,0,25.0,75.0,0.0,2018,Q1
GUANAJUATO,SAN FRANCISCO DEL RINCON,23,7,16,0,30.434782608695656,69.56521739130434,0.0,2018,Q1
GUERRERO,ACAPULCO DE JUAREZ,242,28,214,0,11.570247933884298,88.42975206611571,0.0,2018,Q1
GUERRERO,CHILPANCINGO DE LOS BRAVO,250,15,234,1,6.0,93.60000000000001,0.4,2018,Q1
GUERRERO,ZIHUATANEJO DE AZUETA,265,62,200,3,23.39622641509434,75.47169811320755,1.1320754716981132,2018,Q1
HIDALGO,MINERAL DE LA REFORMA,74,28,46,0,37.83783783783784,62.16216216216216,0.0,2018,Q1
HIDALGO,PACHUCA DE SOTO,182,63,119,0,34.61538461538461,65.38461538461539,0.0,2018,Q1
JALISCO,GUADALAJARA,44,8,36,0,18.181818181818183,81.81818181818183,0.0,2018,Q1
JALISCO,PUERTO VALLARTA,274,140,134,0,51.09489051094891,48.9051094890511,0.0,2018,Q1
JALISCO,SAN PEDRO TLAQUEPAQUE,59,17,42,0,28.8135593220339,71.1864406779661,0.0,2018,Q1
JALISCO,TLAJOMULCO DE ZUA±IGA,8,2,6,0,25.0,75.0,0.0,2018,Q1
JALISCO,TONALA,32,9,23,0,28.125,71.875,0.0,2018,Q1
JALISCO,ZAPOPAN,120,40,80,0,33.33333333333333,66.66666666666666,0.0,2018,Q1
MEXICO,ALMOLOYA DE JUAREZ,5,1,4,0,20.0,80.0,0.0,2018,Q1
MEXICO,ECATEPEC DE MORELOS,265,17,248,0,6.415094339622642,93.58490566037736,0.0,2018,Q1
MEXICO,LERMA,8,4,4,0,50.0,50.0,0.0,2018,Q1
MEXICO,METEPEC,37,11,26,0,29.72972972972973,70.27027027027027,0.0,2018,Q1
MEXICO,NEZAHUALCOYOTL,265,52,211,2,19.622641509433965,79.62264150943396,0.7547169811320755,2018,Q1
MEXICO,SAN MATEO ATENCO,24,6,18,0,25.0,75.0,0.0,2018,Q1
MEXICO,TOLUCA,165,16,149,0,9.696969696969697,90.30303030303031,0.0,2018,Q1
MEXICO,ZINACANTEPEC,31,4,27,0,12.903225806451612,87.09677419354838,0.0,2018,Q1
MICHOACAN DE OCAMPO,LAZARO CARDENAS,247,63,184,0,25.506072874493928,74.49392712550608,0.0,2018,Q1
MICHOACAN DE OCAMPO,MORELIA,264,75,189,0,28.40909090909091,71.5909090909091,0.0,2018,Q1
MICHOACAN DE OCAMPO,URUAPAN,266,49,217,0,18.421052631578945,81.57894736842105,0.0,2018,Q1
MORELOS,CUERNAVACA,94,12,82,0,12.76595744680851,87.2340425531915,0.0,2018,Q1
MORELOS,EMILIANO ZAPATA,41,4,37,0,9.75609756097561,90.2439024390244,0.0,2018,Q1
MORELOS,JIUTEPEC,70,12,58,0,17.142857142857142,82.85714285714286,0.0,2018,Q1
MORELOS,TEMIXCO,27,5,21,1,18.51851851851852,77.77777777777779,3.7037037037037033,2018,Q1
MORELOS,XOCHITEPEC,9,2,7,0,22.22222222222222,77.77777777777779,0.0,2018,Q1
MORELOS,YAUTEPEC,10,4,6,0,40.0,60.0,0.0,2018,Q1
NAYARIT,TEPIC,256,44,212,0,17.1875,82.8125,0.0,2018,Q1
NAYARIT,XALISCO,25,4,21,0,16.0,84.0,0.0,2018,Q1
NUEVO LEON,APODACA,19,7,12,0,36.84210526315789,63.1578947368421,0.0,2018,Q1
NUEVO LEON,GARCIA,4,2,2,0,50.0,50.0,0.0,2018,Q1
NUEVO LEON,GENERAL ESCOBEDO,22,10,12,0,45.45454545454545,54.54545454545454,0.0,2018,Q1
NUEVO LEON,GUADALUPE,33,9,24,0,27.27272727272727,72.72727272727273,0.0,2018,Q1
NUEVO LEON,JUAREZ,10,3,7,0,30.0,70.0,0.0,2018,Q1
NUEVO LEON,MONTERREY,30,6,24,0,20.0,80.0,0.0,2018,Q1
NUEVO LEON,SAN NICOLAS DE LOS GARZA,28,6,22,0,21.428571428571427,78.57142857142857,0.0,2018,Q1
NUEVO LEON,SAN PEDRO GARZA GARCIA,3,1,2,0,33.33333333333333,66.66666666666666,0.0,2018,Q1
NUEVO LEON,SANTA CATARINA,112,24,88,0,21.428571428571427,78.57142857142857,0.0,2018,Q1
NUEVO LEON,SANTIAGO,9,6,3,0,66.66666666666666,33.33333333333333,0.0,2018,Q1
OAXACA,ANIMAS TRUJANO,4,3,1,0,75.0,25.0,0.0,2018,Q1
